abandon   v.放弃
talk   n.& v. 谈话，讲话，交谈 
tall   a. 高的 
tank  n. 储水容量；坦克 
tap   n. （自来水、煤气等的）龙头 
tape  n. 磁带；录音带 
task  n. 任务, 工作 
taste   n. 品尝, 尝味 vt. 品尝, 尝味 
tasty   a. 味道好的 
tax   n. 税，税款 
taxi   n. 出租汽车 
tea   n. 茶；茶叶 
teach v. 教书，教 
teacher   n. 教师，教员 
Taxpayer   n. 纳税人
team   n. 队，组 
teamwork  n. 合作，协同工作 
tear  n. 眼泪 
tear v. 扯破, 撕开 
technical  a. 技术的，工艺的 
technique  n. 技术； 技巧，方法 
technology  n. 技术 
teenager   n. （13～19岁的）青少年
telegram   n. 电报 
telegraph   v. (拍) 电报 
telephone   v. 打电话 n. 电话 
telescope   n. 望远镜 
television  n. 电视 
tell  vt. 告诉；讲述；吩咐 
temperature   n. 温度 
temple   n. 庙宇，寺院 
temporary  a. 短暂的，暂时的
tennis   n. 网球 
ten   num. 十 
trend   v.倾向，趋于
tendency  n. 倾向，偏好，性情
tense   a. 心烦意乱的，紧张的 
tension  n. 紧张局势，矛盾
tent   n. 帐篷 
term   n. 学期；术语；条款；项 
terminal   a. （火车，汽车等）终点站 
terrible   a. 可怕的；糟糕的 
terrify   vt. 使人感到恐怖 
terror  n. 恐惧，惊恐 
test   vt.& n. 测试, 考查，试验 
text   n. 文本，课文 
textbook   n. 课本，教科书 
than   conj. 比 
thank  vt. 感谢n. （复）感谢，谢意 
thankful   a. 感谢的，感激的 
that a.& pron. 那，那个 
the   art. 这（那）个，
theatre n. 剧场，戏院 
theft   n. 盗窃案 
their   pron. 他(或她、它)们的 
theirs   pron. 他（或她、它）们的
them   pron. 他/她/它们（宾格） 
theme  n. 主题 
themselves  pron. 他/她/它们自己 
then   ad. 然后；那么
theory   n. 理论 
there   int.  n. 那里，那儿 
therefore   ad. 因此，所以 
these a. & pron. 这些 
they   pron. 他（她）们；它们；人们 
thick   a. 厚的 
thief  n. 窃贼, 小偷 
thin   a. 薄的；瘦的；稀的 
thing  n. 东西；(复)物品，事件 
think v. 想；认为；考虑 
thinking  n. 思索； 见解； 想法 
third   num. 第三 
thirst   n. 渴； 口渴 
thirsty   a. 渴 
thirteen   num. 十三 
thirty   num. 三十 
this a.& pron. 这，这个 
thorough   a. 彻底的 
those a.& pron. 那些 
though   conj. 虽然，可是 
thought   n. 思考，思想 ；念头 
thousand   num. 千 
thread   n. 线 
three   num. 三 
thrill   n./ v. 兴奋，激动
throat  n. 喉咙 
through   prep. 穿（通）过； 
throughout   prep. 遍及，贯穿 
throw v. 投，掷，扔 
thunder   n.& v. 雷声，打雷 
Thursday   n. 星期四 
thus   ad. 这样； 因而 
ticket   n. 票；卷 
tidy   a. 干净的 vt. 弄整洁，弄干净 
tie   vt. （用绳，线）系，拴 n. 领带，
tiger   n. 老虎 
tight  a. 紧的 
till   conj.& prep. 直到，直到……为止
time   n. 时间；时期；钟点； 
timetable   n. 时间表；（学校）课表 
tin   n. （英）罐头，听头 
tiny  a. 极小的，微小的 
tip   n. n.& v.顶端，告诫；小费 
tire  vi. 使疲劳 
tired   a. 疲劳的，累的 
tiresome   a. 令人厌倦的 
title   n. 标题，题目 
to   prep. （动词不定式符号，给；向
toast   v./ n. 烤 
tobacco  n. 烟草，烟叶 
today   ad.& n. 今天；现在
together   ad. 一起，共同 
toilet   n. 厕所 
tolerate  v. 容许，允许，忍受 
tomato   n. 西红柿，番茄 
tomb   n. 坟墓 
tomorrow ad. & n. 明天 
ton   n. （重量单位）吨 
tongue   n. 舌，舌头 
tonight   ad.& n. 今晚，今夜 
too   ad. 也,还；又.很,非常 
tool   n. 工具，器具 
tooth  n. 牙齿 
toothache   n. 牙痛 
toothbrush  n. 牙刷 
toothpaste   n. 牙膏 
top   n. 顶部，（物体的）上面 
topic   n. 题目，话题 
tortoise   n. 乌龟 
total   a. 总数的；v. 合计为 
touch   vt. 触摸，接触 
tough   a. 坚硬的；棘手的，难解的 
tour   n. 参观, 观光, 旅行 
tourism   n. 旅游业； 观光 
tourist  n. 旅行者，观光者 
toward(s)   prep. 向，朝，对于 
towel  n. 毛巾 
tower   n. 塔 
town   n. 城镇，城 
toy   n. 玩具, 玩物 
track   n. 轨道； 田径 
tractor  n. 拖拉机 
trade   n. 贸易 vt. 用……进行交换 
traffic   n. 交通，来往车辆 
tradition  n. 传统，风俗
traditional   a. 传统的，风俗的
train   n. 火车 v. 培训,训练 
training   n. 培训 
transform  v.使改变形态,使改观 
translate   vt. 翻译 
translation  n. 翻译； 译文 
translator   n. 翻译家，译者 
transparent  a.透明的，清澈的
transport n.& vt.运输
trap  n. 陷阱 vt. 使陷入困境 
travel n.& vi. 旅行 
traveler   n. 旅行者 
treasure   n. 金银财宝； 财富 
treat   vt. 对待，看待 
treatment   n. 治疗，疗法 
tree   n. 树 
tremble  v. 颤抖 
trend  n.趋势，倾向，动态
trial   n. 审判； 试验； 试用 
triangle n.& adj.三角形；三角形的 
trick   n. 诡计，把戏 
trip   n. 旅行，旅程  
trouble  vt. 使苦恼， n. 烦恼，麻烦 
trousers   n. 裤子，长裤 
truck  n. 卡车,  v. 装车；用货车运 
true   a. 真的，真实的；忠诚的 
truly   ad. 真正地，真实地 
trunk   n. 树干；大箱子 
trust   vt. 相信，信任，信赖 
truth   n. 真理，事实,真相
try   v. 试，试图，努力 
tune  n. 曲调，曲子 
Tuesday   n. 星期二 
turkey  n. 火鸡 
turn   v. 旋转，翻转，转弯 n. 轮流，
twelfth  num. 第十二 
twelve  num. 十二 
twentieth  num. 第二十 
twenty  num. 二十 
twenty-first  num. 第二十一 
twin   n. 双胞胎之一 
twist   v./ n. 使弯曲，转动 
two   num. 二 
type  vt. 打字 
typewriter  n. 打字机 
typhoon  n. 台风 
typist   n. 打字员 
tyre   n. 轮胎 
ugly  a. 丑陋的； 难看的
umbrella   n. 雨伞 
unbearable  a.难耐得,无法接受的
unbelievable  a.难以置信的
uncle  n. 叔；伯；舅；姑夫；姨父 
under  ad.& prep. 在……下面， 
underground  a. 地下的 ,n. 地铁 
understand  v. 懂得；明白；理解 
unfair   a. 不公平的，不公正的 
unhappy   a. 不高兴的，伤心的  
uniform   n. 制服 
union   n. 联合，联盟；工会 
unit   n. 单元，单位 
unite   v. 联合，团结 
united    a.联合的
universe   n. 宇宙 
universal  a. 普遍的，全体的
university  n. 大学 
unknown  a. 不知道的 
unless  conj. 如果不，除非 
until  prep.& 直到……为止 conj. 
untrue  a. 不真实的，假的 
unusual  a. 不平常的，异常的 
up  ad. 向上；在上方； 
upon  prep. 在……上面 
upper  a. 较高的，较上的 
upset  a. 心烦的，苦恼的 
upstairs  ad. 在楼上，到楼上 
upward(s) ad. 向上； 往上 
use n.& vt. 利用，应用 
used  a. 用过的；二手的 
useful  a. 有用的，有益的 
useless  a. 无用的 
user  n. 使用者； 用户 
usual  a. 通常的，平常的 
usually  ad. 通常，经常 
vacant  a.空缺的，未被占用的
vacation  n. 假期，休假 
valid  a有效的,合理的,有根据的
vain   n. 自负的，徒劳的
valley   n. 山谷, 溪谷 
valuable  a. 值钱的，贵重的 
value  n. 价值，益处 
variety  n. 种种，种类 
various  a. 各种各样的，不同的 
vase   n. （花）瓶；瓶饰 
vast  a. 巨大的，广阔的  
vegetable  n. 蔬菜 
very   ad. 很，非常 
vest   n. 背心，内衣 
victory   n. 胜利 
video   n. 录像，视频 
videophone  n. 可视电话 
view   n. 看法，见解；风景
village   n. 村庄，乡村 
villager   n. 村民 
vinegar   n. 醋 
violence  n. 暴力行为 
violent  a. 暴力的 
violin   n. 小提琴 
virtue   n. 美德，德行
virus   n.  病毒 
visa   n. 签证，背签 
visit  n.& vt. 参观,拜访 
visitor   n. 访问者，参观者 
visual  a.视力的，视觉的
vital  a.必不可少的，极重要的
vivid  a.生动，逼真的，鲜明的
volcano   n.火山
volunteer   n./ v. 义工，自愿者
voice   n. 说话声; 语态 
volleyball   n. 排球 
vote   vi. 选举，投票 
voyage   n. 航行，旅行
wage  n. 工资，工钱，报酬 
wait  vi. 等，等候 
waiter  n. （餐厅）男服务员 
waiting -room  n.候诊室,候车室 
waitress  n. 女服务员 
wake  v.醒来,叫醒 
walk  n.& v. 步行；散步 
walkman  n. 随身听 
wall  n. 墙 
wander  vi.漫游,游荡,漫步,流浪 
want  vt. 想,想要,需要,必要 
war  n. 战争 
warm  a. 暖和的,温暖的;热情的
warmth  n. 暖和，温暖
warn  vt. 警告，预先通知  
wash  n.洗(涤)冲洗,v.洗(涤),冲洗, 
waste  n.& vt. 浪费 
watch  vt. 观看,当心n. 手表
water  n. 水v. 浇水 
watermelon  n. 西瓜 
wave  n. 波，波浪 v. 挥手
wax  n. 蜡 
way  n. 路，路线；方式，手段 
wayside  a. 路边的 
we  pron. 我们  
weak  a. 差的，弱的，淡的 
weakness  n. 软弱 
wealth  n. 财产，财富 
wealthy  a. 富的 
wear  v. 穿，戴
weather  n. 天气 
website  n.网站
wedding  n. 婚礼,结婚 
Wednesday  n. 星期三 
weed  n. 杂草，野草 
week  n. 星期，周 
weekday  n. 平日 
weekend  n. 周末 
weekly  a. 每周的 
weep  v. 哭泣，流泪 
weigh vt. 称…的重量，重（若干） 
weight  n. 重，重量 
welcome  int.n. & v.欢迎 a. 受欢迎的 
welfare  n. 幸福，福利 
well  ad. 好 a.,健康的n. 井 
well-known  a.出名,众所周知的
west  a. 西的 ad. 在西方, n.西部； 
western  a. 西方的，西部的  
westwards  ad. 向西 
wet  a. 湿的,潮的,多雨的 
whale  n. 鲸 
what  pron. 什么,怎么样 a. 多么
whatever  conj.无论什么，不管什么 
wheat  n. 小麦 
wheel  n. 轮，机轮 
when  conj. 当…的时候 
whenever  conj. 每当，无论何时 
where  ad. 在哪里；往哪里 
wherever  conj. 无论在哪里
whether  conj. 是否 
which  pron. 那(哪)一个；那(哪)一些
whichever  pron. 无论哪个;
while conj.在…的时候, n.一段时间 
whisper  v. 低语，私下说 
whistle  n. 口哨，口哨声 
white  a. 白色的 n. 白色 
who  pron. 谁 
whole  a. 整个的 
whom  pron. (who的宾格 )
whose  pron. 谁的 
why  ad./ int. 为什么,
wide  a. 宽阔的 
widespread  a.分布广的,普遍的 
wife  n. 妻子 
wild  a. 未开发的，野生的 
wildlife  n. 野生动物 
will  n. 意志, 遗嘱 
will  mv. 将,愿意，要 
willing  a. 乐意的； 愿意的  
win  n. 获胜，赢得 
wind  n. 风 
wind vt. 缠，连带；蜿蜒
windbreaker  n.风衣,防风(皮)夹克 
window  n. 窗户；计算机的窗 
windy  a. 有风的，多风的 
wine  n. 酒 
wing  n. 机翼，翅膀 
winner  n. 获胜者 
winter  n. 冬天，冬季 
wipe  v. 擦；擦净；擦干 
wire  n. 电线 
wisdom  n. 智慧 
wise  a. 聪明,英明的,有见识的 
wish  n. 愿望，祝愿 vt. 希望,祝愿 
with  prep.关于,带有,以,和,用,有
withdraw  v. 撤回，撤离 
within  prep. 在……里面 
without  prep. 没有 
witness  v./ n. 目击者，见证人 
wolf   n. 狼 
woman n.妇女女人 
wonder  v. 想知道 n. 惊讶,奇迹 
wonderful  a. 美妙的，精彩的
wood  n.木头,木材,(复)树木,森林 
wooden  a. 木制的 
wool  n. 羊毛，羊绒 
word  n. 词，单词；话 
work  n. 工作,vi. 工作;(机器、器官等)运转,
worker  n. 工人；工作者 
world  n. 世界 
world-famous  a. 世界闻名的 
worldwide  a. 遍及全球的，世界范围的 
worm  n. 软体虫,蠕虫(尤指蚯蚓)
worn  a. 用坏,用旧的,疲惫的 
worried  a. 担心的，烦恼的 
worry  n.& v.烦恼,担忧,发怒,困扰 
worth  a. 有…的价值,值得…的 
worthless  a.没有价值,没有用的 
worthwhile  a. 值得做的 
worthy  a. 值得的 
wound  vt.伤,伤害 n.创伤,伤口 
wounded  a. 受伤的 
wrestle  v. 摔跤 
wrinkle  n. 皱纹  
write  v. 写，著述 
writing  n. 书写，写 
wrong  a.错误,不正常,有毛病的 
X-ray  n. X射线；
yawn  vi.打哈欠; 非常宽; 难以逾越;n.哈欠; 乏味的事情; 令人厌烦的观点(等);
yard  n. 码； 院子；场地 
year  n. 年 
yellow  a. 黄色的 
yes ad. 是，好，同意 
yesterday n.& ad. 昨天
yet  ad. 尚，还，仍然 
you  pron. 你；你们 
young   a. 年轻的 
your   pron. 你的；你们的 
yours   pron. 你的；你们的 
yourself   pron. 你自己
yourselves   pron. 你们自己 
youth   n. 青春； 青年 
zebra   n. 斑马 
zero n. & num. 零；
zip v.& n. 拉链 
zone   n. 区域； 范围 
zoo   n. 动物园
